"Analyzer","Num of Records Indexed","Time Taken","Num of Keywords"
"standard","100","415","6306"
"simple","100","535","5995"
"stop","100","632","5962"
"whitespace","100","738","10752"
"standard","1","225","6353"
"simple","1","29","6039"
"stop","1","37","6006"
"whitespace","1","28","10837"
"standard","100","385","8351"
"simple","100","107","7846"
"stop","100","135","7813"
"whitespace","100","133","16041"
"standard","200","593","13341"
"simple","200","176","11932"
"stop","200","239","11899"
"whitespace","200","152","26709"
"standard","300","538","18697"
"simple","300","173","15964"
"stop","300","141","15931"
"whitespace","300","226","38618"
"standard","400","1067","27131"
"simple","400","342","23079"
"stop","400","301","23046"
"whitespace","400","329","56786"
"standard","500","767","33414"
"simple","500","401","27187"
"stop","500","229","27154"
"whitespace","500","238","69855"
